Sotheby’s Auction Result Data (Contemporary),,,,,,
Painting Reference,Category,Painting src,Artist Name,Title of Painting,Estimated Price,Price Sold
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-take-care-of-your-belongings?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/d1076f76-27d5-4513-af1f-129dd1bb82ac/primary/extra_small,1001.  Kenny Schachter,Untitled (Take Care of Your Belongings...),"1,000 - 2,000 USD",378 USD
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/portrait-of-kenny-schachter?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/a2cc8a00-2eb1-4e01-8dc6-3523d7871923/primary/extra_small,1002.  Tom Sanford,Portrait of Kenny Schachter,"2,000 - 3,000 USD",630 USD
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/1976-autobianchi-a112-abarth?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/2074ee93-09bf-4e5d-883f-410b81664644/primary/extra_small,1003.  Fiat/Autobianchi,1976 Autobianchi A112 Abarth,"10,000 - 15,000 USD","11,970 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/birth-of-the-car-birth-of-the-boat?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/0d1c712c-368e-420e-87c5-5add94a1615f/primary/extra_small,1004.  Vito Acconci,Birth Of The Car/Birth of the Boat,"6,000 - 8,000 USD","2,268 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/2-die-4?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/a5ae493e-cb09-4417-b898-f1395cc4824d/primary/extra_small,1005.  Melissa Brown,2 DIE 4,"7,000 - 9,000 USD","5,292 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-25?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/ea6bfeac-f2de-4d96-a4bf-91f29ae859e6/primary/extra_small,1006.  Mosie Romney,Untitled,"2,000 - 3,000 USD","4,788 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/35b80246-6458-4d7c-9722-1913ab3379d5/primary/extra_small,1007.  Chantal Joffe,Untitled,"7,000 - 9,000 USD","8,820 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/lost-body?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/bc7d8e1e-52aa-4973-a510-a535db40fb13/primary/extra_small,1008.  Marcus Brutus,Lost Body,"7,000 - 9,000 USD","5,670 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/el-curandero-devin?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/9810e012-5c18-43af-91e2-3f500e6afa04/primary/extra_small,1009.  Tiffany Alfonseca,El Curandero (Devin),"1,000 - 2,000 USD","1,260 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/bhabharosi-on-the-shore?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/7af05723-0cf4-4152-91e6-05cd9bfd3b07/primary/extra_small,1010.  Simphiwe Ndzube,Bhabharosi on the Shore,"20,000 - 30,000 USD","20,160 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/the-great-hunt?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/81dc375b-3cb4-4322-a764-07dfa9aa180b/primary/extra_small,1011.  Julia Jo,The Great Hunt,"10,000 - 15,000 USD","17,640 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/katherine-bradford-beach-greeting?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/6d7326fe-cf00-4634-8e14-9d624926944f/primary/extra_small,1012.  Katherine Bradford,Beach Greeting,"40,000 - 60,000 USD","107,100 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/fatebe-a-quiet-pattern-violet-edition?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/c80ab99c-4fed-4a03-9a0c-a28acd1e5961/primary/extra_small,1013.  Ebecho Muslimova,Fatebe A Quiet Pattern (Violet Edition),"1,000 - 2,000 USD","1,260 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-9?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/1de6486d-e62d-4bef-8762-c19880196946/primary/extra_small,1014.  Bel Fullana,Booty Twerking,"3,000 - 5,000 USD","1,638 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/untitled-30?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/2bb046b8-e826-4cec-89ba-1eb60cbe9d2c/primary/extra_small,1015.  Chloe Wise,Untitled,"4,000 - 6,000 USD","6,930 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/cheeseburger-emoji-crotch?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/e83905e7-3d2b-4205-81ea-e7923c0a05b4/primary/extra_small,1016.  Gina Beavers,Cheeseburger Emoji Crotch,"15,000 - 20,000 USD","6,930 USD"
https://www.sothebys.com/en/buy/auction/2022/the-hoarder-iv-the-final-chapter-2/homologous?locale=en,Contemporary,https://dam.sothebys.com/dam/image/lot/30b59bf3-02fe-464d-9a9a-1bdad29ecbea/primary/extra_small,1017.  Ambera Wellmann,Homologous,"30,000 - 50,000 USD","94,500 USD"
