,price,artist,title,yearCreation,signed,condition,period,movement
0,28.500 USD,Tommaso Ottieri,Bayreuth Opera,2021,Signed on verso,This work is in excellent condition.,Contemporary,Baroque
1,3.000 USD,Pavel Tchelitchew,Drawings of the Opera,First Half 20th Century ,Signed and titled,Not examined out of frame.No obvious signs of wear to works.,Post-War,Surrealism
2,5.000 USD,Leo Gabin,Two on Sidewalk,2016,"Signed, titled and dated on verso",This work is in excellent condition.,Contemporary,Abstract
3,5.000 USD,Matthias Dornfeld,Blumenszene,2010,"Signed, titled and dated on the reverse with the artist's stamp",This work is in excellent condition.There is minor craquelure inherent to the artist's work.,Contemporary,Abstract
4,2.500 USD,Alexis Marguerite Teplin,Feverish Embarkation,2001,Signed on verso,This work is in excellent condition.,Contemporary,Abstract
5,7.575 USD,Kenzo Okada,Bamboo,1977,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism
6,7.550 USD,Francesco Clemente,Air,2007,"Numbered and signed on bottom corner, recto","This work is in excellent condition, direct from the publisher.",Contemporary,Neo-Expressionism
7,3.550 USD,Günther  Förg,Untitled (Green),1993,Signed lower right recto; numbered lower left recto ,"This work is in very good condition, direct from the publisher.",Contemporary,Modernism
8,3.075 USD,Dan Walsh,Manifold - Blue,2014,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
9,3.550 USD,Günther  Förg,Untitled (Orange/Black),1993,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Modernism
10,3.075 USD,Dan Walsh,Manifold - Red,2014,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
11,40.000 USD,Friedel Dzubas,Upstream,1973,Signed and dated on verso,This work is in excellent condition.,Contemporary,Abstract
12,15.000 USD,Zhang Yu,96.6.2,[nan],Signed lower right,"This work is in very good condition; however, there is significant rippling of the paper throughout, including a large crease down center front. These undulations are most likely caused by the nature of the materials used.",Contemporary,[nan]
13,7.000 USD,Chris Ofili,"Last Night, New Day",2008,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,"Punk, Young British Artists, Abstract"
14,4.000 USD,Marcel Dzama,Here's a Fine Revolution,2015,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Magic Realism 
15,4.000 USD,Leonardo Drew,CPP11,2015,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism
16,5.000 USD,Anne Appleby,Cottonwood,2012,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
17,8.000 USD,Sol LeWitt,Horizontal Bands (More or Less) Red/Green,2002,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
18,5.500 USD,Jockum Nordström,House and Bugs,2008,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism
19,2.500 USD,William Bailey,Stradina,2002,Signed lower right corner,"This work is in excellent condition, direct from the publisher.",Contemporary,Realism
20,7.000 USD,Al Held,Fly Away,1992,Signed verso,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism
21,6.000 USD,Tomma Abts,Untitled (small circles),2015,Signed on lower right corner,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
22,7.000 USD,Richard Tuttle,Trans Asian,1993,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism
23,7.000 USD,Matt Mullican,"REPRESENT THE WORK, Logo",2020,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
24,8.000 USD,Leonardo Drew,CPP1,2015,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism
25,6.500 USD,Pat Steir,Hand Painted Lily #1,1992 - 2004,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
26,10.000 USD,Wayne Thiebaud,Dark Canyon Bluffs,2014,Signed bottom right,"This work is in excellent condition, direct from the publisher.",Contemporary,Modernism
27,10.000 USD,Anish Kapoor,Untitled 12,1991,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
28,8.500 USD,Charline von Heyl,Nightpack (Red Yellow Blue),2014,Signed bottom right,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract
29,4.000 USD,Leonardo Drew,CPP10,2015,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism
30,2.800 USD,Patricia Treib,Pendulum,2018,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract
