,Unnamed: 0.1,Unnamed: 0,price,artist,fame,title,yearCreation,signed,condition,period,movement
0,0,0,28.500 USD,Tommaso Ottieri,0.0,Bayreuth Opera,2021,Signed on verso,This work is in excellent condition.,Contemporary,Baroque
1,1,1,3.000 USD,Pavel Tchelitchew,0.0,Drawings of the Opera,First Half 20th Century ,Signed and titled,Not examined out of frame.No obvious signs of wear to works.,Post-War,Surrealism
2,2,2,5.000 USD,Leo Gabin,98.0,Two on Sidewalk,2016,"Signed, titled and dated on verso",This work is in excellent condition.,Contemporary,Abstract
3,3,3,5.000 USD,Matthias Dornfeld,88.0,Blumenszene,2010,"Signed, titled and dated on the reverse with the artist's stamp",This work is in excellent condition.There is minor craquelure inherent to the artist's work.,Contemporary,Abstract
4,4,4,2.500 USD,Alexis Marguerite Teplin,0.0,Feverish Embarkation,2001,Signed on verso,This work is in excellent condition.,Contemporary,Abstract
5,5,5,7.575 USD,Kenzo Okada,147.0,Bamboo,1977,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism
6,6,6,7.550 USD,Francesco Clemente,137.0,Air,2007,"Numbered and signed on bottom corner, recto","This work is in excellent condition, direct from the publisher.",Contemporary,Neo-Expressionism
7,7,7,3.550 USD,Günther  Förg,124.0,Untitled (Green),1993,Signed lower right recto; numbered lower left recto ,"This work is in very good condition, direct from the publisher.",Contemporary,Modernism
8,8,8,3.075 USD,Dan Walsh,122.0,Manifold - Blue,2014,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
9,9,9,3.550 USD,Günther  Förg,124.0,Untitled (Orange/Black),1993,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Modernism
10,10,10,3.075 USD,Dan Walsh,122.0,Manifold - Red,2014,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
11,11,11,40.000 USD,Friedel Dzubas,80.0,Upstream,1973,Signed and dated on verso,This work is in excellent condition.,Contemporary,Abstract
12,12,12,15.000 USD,Zhang Yu,0.0,96.6.2,[nan],Signed lower right,"This work is in very good condition; however, there is significant rippling of the paper throughout, including a large crease down center front. These undulations are most likely caused by the nature of the materials used.",Contemporary,[nan]
13,13,13,7.000 USD,Chris Ofili,152.0,"Last Night, New Day",2008,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,"Punk, Young British Artists, Abstract"
14,14,14,4.000 USD,Marcel Dzama,132.0,Here's a Fine Revolution,2015,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Magic Realism 
15,15,15,4.000 USD,Leonardo Drew,131.0,CPP11,2015,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism
16,16,16,5.000 USD,Anne Appleby,0.0,Cottonwood,2012,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
17,17,17,8.000 USD,Sol LeWitt,210.0,Horizontal Bands (More or Less) Red/Green,2002,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
18,18,18,5.500 USD,Jockum Nordström,114.0,House and Bugs,2008,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism
19,19,19,2.500 USD,William Bailey,71.0,Stradina,2002,Signed lower right corner,"This work is in excellent condition, direct from the publisher.",Contemporary,Realism
20,20,20,7.000 USD,Al Held,178.0,Fly Away,1992,Signed verso,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism
21,21,21,6.000 USD,Tomma Abts,140.0,Untitled (small circles),2015,Signed on lower right corner,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
